Target,Gloss
mhm,mhm
mhm:,mhm:
eh,eh
ah,ha
a,at
maman,mom
coucou,Hello
ma,my
regarde,looked
non,no
là,the
ouais,yeah
allo,Hello
tiens,here
mh,mh
boum,bang
encore,again
tétine,nipple
oh,Oh
ouh,ooh
ma:,my:
euh,uh
hein,huh
hi,hi
ça,it
ah:,ah:
pas,not
vache,cow
yeux,eyes
je,I
veux,want
balle,ball
moi,I
meuh,moo
bravo,well done
voir,see
là-haut,yonder
donner,give
ouvrir,to open
boire,to drink
enlever,to take off
papa,dad
là-bas,over there
il,he
est,is
viens,come
tic,tic
tac,tock
pain,bread
oui,Yes
voilà,here
pomme,Apple
une,a
mm,mm
non:,no:
celui,the one
un,a
elle,she
la,the
fait,made
caca,poop
chien,dog
mm:,mm:
miam,Yum
pot,pot
rien,nothing
berk,yuck
pff,pff
toc,fake
clac,bed
crac,crack
meuh:,moo:
miaou,meow
mets,dish
à,at
hop,hop
tracteur,tractor
pour,for
aller,to go
bon,Well
coccinelle,ladybug
cuillère,spoon
Babar,Babar
ballon,ball
boule,ball
en_haut,up
en,in
haut,high
gros,large
rond,round
dom,dom
ding,ding
et,and
tête,head
cache+cache,Cache Cache +
où,or
camion,truck
grand,tall
eau,water
y,there
d'accord,Okay
j'en,I
tire,drawn
toi,you
chaussons,slippers
peu,little
Barbapapa,Barbapapa
les,the
éh,éh
voiture,car
Nat,Nat
dada,hobbyhorse
au,at
trot,trot
hoplà,Hopla
ronds,round
Winnie,Winnie
Petit_Rond,Small circle
le,the
cache,hidden
attention,Warning
Nanou,Nanou
copain,boyfriend
lapin,rabbit
chemin,path
aïe,Ouch
donne,given
tut@o,beep
comme,as
pinpon@o,neenaw
Pinpon,pinpon
l'eau,the water
hm,hm
papi,Grandpa
bain,bath
hibou,owl
beau,handsome
moto,motorbike
Tigrou,Tigger
bébé,baby
pipi,Pee
tortue,tortoise
chocolat,chocolate
loup,wolf
pleure,cry
poisson,fish
doux,soft
maintenant,now
lion,Lion
hippopotame,hippopotamus
grr,grr
tigre,tiger
zèbre,zebra
Cache_Cache,Cache_Cache
Rond,Round
petit,small
disque,disk
c'est,it is
alors,so
fais,do
rat,rat
éléphant,elephant
mon,my
des,of the
rats,rats
vu,seen
verra,will
licorne,unicorn
noir,black
soir,evening
souris,mouse
dans,in
nage,swim
petits,small
poissons,Pisces
que,than
charmant,charming
content,happy
sabot,shoe
sapin,fir
pâtes,pasta
top,top
Michalak,Michalak
très,very
Tatan,Tatan
train,train
Babou,Babou
garde,keep
allume,alight
éteindre,switch off
Jea,Jea
Jean,Jeans
Nathan,Nathan
one,one
es,es
fou,crazy
veut,wants
dodo,dodo
attaque,attack
chausson,slipper
manger,eat
verre,glass
ronde,round
du,of
jaune,yellow
lui,him
bleu,blue
de,of
vert,green
plus,more
nez,nose
coule,flows
là:,the:
ou,or
dessin,drawing
quand,when
Stéphane,Stéphane
musique,music
moulin,mill
pied,foot
bateau,boat
rivière,river
sur,sure
jouer,to play
rentre,returns
elles,they
sont,are
bleues,blue
chaussure,shoe
enfants,children
tortues,turtles
quoi,what
roue,wheel
celle-là,that one
celle,that
gris,Grey
quatre,four
écrit,written
peur,fear
trou,hole
Zou,Zou
parti,left
ses,his
pattes,paws
Yvan,Yvan
Oh,Oh
partout,all over
porte,door
dort,sleeps
dur,hard
pont,bridge
pile,battery
loupe,magnifying glass
atchoum,atchoum
parce,by
main,hand
trois,three
au_revoir,goodbye
dent,tooth
pleut,rains
Maman,Mom
l'igloo,the igloo
épée,sword
Georges,Georges
papy,Grandpa
début,beginning
cou,neck
l'oeil,the eye
oreilles,ears
ouaf,woof
coin,corner
chat,cat
loin,far
oiseau,bird
retire,took of
loin:,far:
bisou,kiss
Papa,Dad
bonjour,Hello
chercher,look for
partit,departed
faire,to do
jeu,Game
ici,here
peinture,painting
deux,of them
bé,bé
coin+coin,corner corner +
cochon,pig
ai,have
dessiner,draw
court,short
retourne,return
qui,who
Rémi,Rémi
as,ace
masque,mask
beurre,Butter
merci,thank you
on,we
parle,speak
descendre,go down
coeur,heart
paon,peacock
jus,juice
envie,desire
sac,bag
pourquoi,Why
tartine,tartine
lait,milk
bas,low
j'ai,I have
chaud,hot
pardon,sorry
chaussette,sock
chaussettes,socks
en_bas,below
lire,read
histoire,history
Zouzou,Zouzou
avec,with
bonbon,candy
Papou,Papuan
ait,has
fantôme,ghost
ce,this
bruit,noise
tu,you
lunettes,glasses
gouttes,drops
pieds,feet
attends,hold on
mes,my
perdu,lost
mangé,eat
cuisine,cooked
joue,play
ta,your
château,castle
nager,swim
va,go
fermer,to close
donnez,give
peux,can
couteau,knife
espèce,species
pamplemousse,grapefruit
aussi,too
roi,King
mal,wrong
ventre,belly
oh_hisse,oh_hisse
mais,But
n'ai,have
ours,bear
koala,koala
Chi,Chi
cheval,horse
cochon+d+inde,Pig + d + india
clic,click
mignon,cute
pique,pike
stop,stop
chanson,song
caché,hidden
carotte,carrot
gruyère,Gruyere
ouais:,yeah:
eh:,eh:
doudou,Teddy
bientôt,soon
oh:,Oh:
allô,Hello
crabe,crab
poum,poom
gâteau,cake
nounours,teddy bear
Lulu,Lulu
rouge,red
pouf,pouffe
Amélie,Amelie
chambre,bedroom
guili,guili
jouet,toy
cocorico,cock-a-doodle Doo
l'enfant,the child
poupon,little baby
tombé,falls
coucou:,Hello:
ah-là-là,my my my
merci:,thank you:
carton,cardboard
vois,see
lis,Lily
escargot,snail
abeille,bee
garçon,boy
appareil,apparatus
photo,Photo
fermé,closed
maison,House
tchou,choo
promener,to walk
côté,side
chaise,chair
rigolo,fun
monter,ascend
micro,microphone
grottes,caves
couin@o,quack
si,if
cocotte,casserole
j'arrive,I arrive
rrr,rrr
autre,other
poussin,chick
cassé,broken
bavoir,bib
comment,How? 'Or' What
Théotime,Théotime
tatie,Aunt
fini,finished
café,Coffee
si_il_te_plaît,please
oui:,Yes:
cacher,hide
houp,houp
coincé,stuck up
girafe,giraffe
bâton,stick
sa,her
banane,banana
lune,Moon
étoile,star
l'âne,the donkey
cocorrico@o,cock_a_doodle_doo
coq,cock
Tchoupi,Tchoupi
arrive,come
tourne,turned
livre,delivered
vroum,vroom
lourd,heavy
où:,or:
tut,silent
ouïe,hearing
grenouille,frog
araignée,spider
chut,hush
mouton,sheep
allô:,Hello:
kangourou,kangaroo
quelle,what
couleur,color
couché,layer
carte,menu
rose,pink
Gourou,Guru
asseoir,Sit
Spot,Spot
spot,spot
cadeau,gift
poule,hen
trop,too much
bing,bing
par,by
sapins,firs
ça:,it:
poupée,doll
tombe,falls
étiquette,label
faim,hunger
morceau,piece
boite,box
poignée,handle
cousu,stitched
vélo,bike
pousser,push
heuh,Heuh
oreille,hear
front,forehead
doigt,finger
dos,back
écureuil,squirrel
pin,pine
tient,is holding
canard,duck
éponge,sponge
frotte,rub
marteau,hammer
oeufs,eggs
farine,flour
chapeau,hat
rateau,rake
balance,balance
Popi,Popi
patte,paw
range,tidy
touché,touch
cassée,broken
éteint,off
broum,broum
appuyé,supported
pantalon,trousers
collé,glue
roule,rolled
roulé,rolled
barrières,barriers
pince,pliers
écrou,nut
poche,poached
caisse,checkout
boîte,box
tape,slap
croque,croque
sac+à+dos,+ bag + back to
dérange,disturbs
ranger,tidy
sauter,jump
bouton,button
après,after
loulou,spitz
couronne,crowned
connais,know
boutons,buttons
debout,standing
crocodile,crocodile
pyjama,pyjamas
Aglaé,Aglaia
couchée,lying
touche,touch
avion,plane
carottes,carrots
tomates,tomatoes
